,Entering passengers,,,,,,,,,,,,,,,,,,,,plus factor,,,,,,,,
Departure,CS Centrumzijde,Bleekstraat,Sterrenwijk,Rubenslaan,Stadion Galgenwaard,De Kromme Rijn,Padualaan,Heidelberglaan,AZU,,Centraal Station,Vaartsche rijn,Station Galgenwaard,De Kromme rijn,Padualaan,Heidelberglaang,AZU,WKZ,P+R,,Centraal Station,Vaartsche rijn,Station Galgenwaard,De Kromme rijn,Padualaan,Heidelberglaang,AZU,WKZ,P+R
18:30,30,1,1,2,1,1,0,0,0,,30,2,3,1,0,0,0,0,0,,66,5,7,3,0,0,0,0,0
18:45,23,2,1,1,1,0,1,0,0,,23,3,2,0,1,0,0,0,0,,51,7,5,0,3,0,0,0,0
19:00,33,1,1,2,1,1,0,0,0,,33,2,3,1,0,0,0,0,0,,73,5,7,3,0,0,0,0,0
19:15,21,1,1,1,1,1,0,1,0,,21,2,2,1,0,1,0,0,0,,47,5,5,3,0,3,0,0,0
19:30,17,1,1,1,1,0,0,0,0,,17,2,2,0,0,0,0,0,0,,38,5,5,0,0,0,0,0,0
19:45,14,1,1,1,1,1,0,0,0,,14,2,2,1,0,0,0,0,0,,31,5,5,3,0,0,0,0,0
20:00,15,1,1,1,1,1,0,0,0,,15,2,2,1,0,0,0,0,0,,33,5,5,3,0,0,0,0,0
20:15,9,1,1,1,1,0,0,0,0,,9,2,2,0,0,0,0,0,0,,20,5,5,0,0,0,0,0,0
20:30,11,1,1,1,1,0,0,0,0,,11,2,2,0,0,0,0,0,0,,25,5,5,0,0,0,0,0,0
20:45,9,1,1,1,1,1,0,0,0,,9,2,2,1,0,0,0,0,0,,20,5,5,3,0,0,0,0,0
21:00,10,1,1,1,1,1,1,0,0,,10,2,2,1,1,0,0,0,0,,22,5,5,3,3,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9134,470,131,197,203,107,51,42,0,10335,,,,,,,,,,,,,,,,,,,
